testing logger
TEBDEngine: subconfig 'trunc_params'=Config(<2 options>, 'trunc_params')
TEBDEngine: reading 'dt'=0.1
TEBDEngine: reading 'N_steps'=1
TEBDEngine: reading 'order'=4
Calculate U for {'order': 4, 'delta_t': 0.1, 'type_evo': 'real', 'E_offset': None, 'tau': 0.1}
trunc_params: reading 'chi_max'=100
trunc_params: reading 'svd_min'=1e-12
--> time=5.800, max(chi)=32, max(S)=1.08918, avg DeltaS=-6.0783e-03, since last update: 0.0s
--> time=5.900, max(chi)=32, max(S)=1.09821, avg DeltaS=-7.3995e-03, since last update: 0.0s
--> time=6.000, max(chi)=32, max(S)=1.10456, avg DeltaS=-8.1144e-03, since last update: 0.0s
--> time=6.100, max(chi)=32, max(S)=1.10856, avg DeltaS=-8.2240e-03, since last update: 0.0s
--> time=6.200, max(chi)=32, max(S)=1.11353, avg DeltaS=-7.7612e-03, since last update: 0.0s
--> time=6.300, max(chi)=32, max(S)=1.11832, avg DeltaS=-6.7905e-03, since last update: 0.0s
--> time=6.400, max(chi)=32, max(S)=1.12228, avg DeltaS=-5.4002e-03, since last update: 0.0s
--> time=6.500, max(chi)=32, max(S)=1.12571, avg DeltaS=-3.6914e-03, since last update: 0.0s
--> time=6.600, max(chi)=32, max(S)=1.12885, avg DeltaS=-1.7641e-03, since last update: 0.0s
--> time=6.700, max(chi)=32, max(S)=1.13191, avg DeltaS=2.9235e-04, since last update: 0.0s
--> time=6.800, max(chi)=32, max(S)=1.13509, avg DeltaS=2.4033e-03, since last update: 0.0s
--> time=6.900, max(chi)=32, max(S)=1.13850, avg DeltaS=4.5076e-03, since last update: 0.0s
--> time=7.000, max(chi)=32, max(S)=1.14224, avg DeltaS=6.5541e-03, since last update: 0.0s
--> time=7.100, max(chi)=32, max(S)=1.14639, avg DeltaS=8.4986e-03, since last update: 0.0s
--> time=7.200, max(chi)=32, max(S)=1.15097, avg DeltaS=1.0302e-02, since last update: 0.0s
--> time=7.300, max(chi)=32, max(S)=1.15601, avg DeltaS=1.1931e-02, since last update: 0.0s
--> time=7.400, max(chi)=32, max(S)=1.16153, avg DeltaS=1.3357e-02, since last update: 0.0s
--> time=7.500, max(chi)=32, max(S)=1.16751, avg DeltaS=1.4558e-02, since last update: 0.0s
--> time=7.600, max(chi)=32, max(S)=1.17397, avg DeltaS=1.5519e-02, since last update: 0.0s
--> time=7.700, max(chi)=32, max(S)=1.18093, avg DeltaS=1.6232e-02, since last update: 0.0s
--> time=7.800, max(chi)=32, max(S)=1.18840, avg DeltaS=1.6694e-02, since last update: 0.0s
--> time=7.900, max(chi)=32, max(S)=1.19642, avg DeltaS=1.6910e-02, since last update: 0.0s
--> time=8.000, max(chi)=32, max(S)=1.20505, avg DeltaS=1.6889e-02, since last update: 0.0s
--> time=8.100, max(chi)=32, max(S)=1.21437, avg DeltaS=1.6648e-02, since last update: 0.0s
--> time=8.200, max(chi)=32, max(S)=1.22447, avg DeltaS=1.6207e-02, since last update: 0.0s
--> time=8.300, max(chi)=32, max(S)=1.23547, avg DeltaS=1.5595e-02, since last update: 0.0s
--> time=8.400, max(chi)=32, max(S)=1.24750, avg DeltaS=1.4843e-02, since last update: 0.0s
--> time=8.500, max(chi)=32, max(S)=1.26072, avg DeltaS=1.3989e-02, since last update: 0.0s
--> time=8.600, max(chi)=32, max(S)=1.27545, avg DeltaS=1.3069e-02, since last update: 0.0s
--> time=8.700, max(chi)=32, max(S)=1.29537, avg DeltaS=1.2120e-02, since last update: 0.0s
--> time=8.800, max(chi)=32, max(S)=1.31540, avg DeltaS=1.1174e-02, since last update: 0.0s
--> time=8.900, max(chi)=32, max(S)=1.33533, avg DeltaS=1.0256e-02, since last update: 0.0s
--> time=9.000, max(chi)=32, max(S)=1.35496, avg DeltaS=9.3920e-03, since last update: 0.0s
--> time=9.100, max(chi)=32, max(S)=1.37410, avg DeltaS=8.6003e-03, since last update: 0.0s
--> time=9.200, max(chi)=32, max(S)=1.39257, avg DeltaS=7.8973e-03, since last update: 0.0s
--> time=9.300, max(chi)=32, max(S)=1.41159, avg DeltaS=7.2945e-03, since last update: 0.0s
--> time=9.400, max(chi)=32, max(S)=1.43355, avg DeltaS=6.7976e-03, since last update: 0.0s
--> time=9.500, max(chi)=32, max(S)=1.45519, avg DeltaS=6.4063e-03, since last update: 0.0s
--> time=9.600, max(chi)=32, max(S)=1.47619, avg DeltaS=6.1136e-03, since last update: 0.0s
--> time=9.700, max(chi)=32, max(S)=1.49626, avg DeltaS=5.9065e-03, since last update: 0.0s
--> time=9.800, max(chi)=32, max(S)=1.51512, avg DeltaS=5.7669e-03, since last update: 0.0s
--> time=9.900, max(chi)=32, max(S)=1.53256, avg DeltaS=5.6730e-03, since last update: 0.0s
--> time=10.000, max(chi)=32, max(S)=1.54838, avg DeltaS=5.6013e-03, since last update: 0.0s
--> time=10.100, max(chi)=32, max(S)=1.56246, avg DeltaS=5.5282e-03, since last update: 0.0s
--> time=10.200, max(chi)=32, max(S)=1.57469, avg DeltaS=5.4316e-03, since last update: 0.0s
--> time=10.300, max(chi)=32, max(S)=1.58503, avg DeltaS=5.2926e-03, since last update: 0.0s
--> time=10.400, max(chi)=32, max(S)=1.59348, avg DeltaS=5.0963e-03, since last update: 0.0s
--> time=10.500, max(chi)=32, max(S)=1.60009, avg DeltaS=4.8323e-03, since last update: 0.0s
--> time=10.600, max(chi)=32, max(S)=1.60495, avg DeltaS=4.4953e-03, since last update: 0.0s
--> time=10.700, max(chi)=32, max(S)=1.60820, avg DeltaS=4.0848e-03, since last update: 0.0s
--> time=10.800, max(chi)=32, max(S)=1.61001, avg DeltaS=3.6056e-03, since last update: 0.0s
--> time=10.900, max(chi)=32, max(S)=1.61061, avg DeltaS=3.0668e-03, since last update: 0.0s
--> time=11.000, max(chi)=32, max(S)=1.61023, avg DeltaS=2.4822e-03, since last update: 0.0s
--> time=11.100, max(chi)=32, max(S)=1.60914, avg DeltaS=1.8692e-03, since last update: 0.0s
--> time=11.200, max(chi)=32, max(S)=1.60765, avg DeltaS=1.2487e-03, since last update: 0.0s
--> time=11.300, max(chi)=32, max(S)=1.60606, avg DeltaS=6.4368e-04, since last update: 0.0s
